iata,name,city,state,country,latitude,longitude
Z08,USBP,Ofu Village,AS,USA,14.18435056,-169.6700236
Z09,USBP,Kasigluk,AK,USA,60.87202194,-162.5248094
Z13,USBP,Akiachak,AK,USA,60.90453167,-161.42091
Z17,USBP,Ophir,AK,USA,63.1460375,-156.529865
Z40,USBP,Goose Bay,AK,USA,61.39445139,-149.8455556
Z55,USBP,Lake Louise,AK,USA,62.29368944,-146.5794219
Z73,USBP,Nelson Lagoon,AK,USA,56.00753611,-161.1603672
Z84,USBP,Clear A.F.B.,AK,USA,64.30120361,-149.1201436
Z91,USBP,Birch Creek,AK,USA,66.27399583,-145.8240381
Z95,USBP,Cibecue,AZ,USA,34.00333333,-110.4441667
ZEF,USBP,Elkin,NC,USA,36.28002361,-80.78606861
ZER,USBP,Pottsville,PA,USA,40.70644889,-76.37314667
ZPH,USBP,Zephyrhills,FL,USA,28.22806472,-82.15591639
ZUN,USBP,Zuni,NM,USA,35.08322694,-108.7917769
ZZV,USBP,Zanesville,OH,USA,39.94445833,-81.89210528
